Lp;Numer;P³eæ;Rocznik;Kat wiekowa;Czas
No.;Bib;Sex;YoB;Age Group;Time
352;3449;M / 357;1964;M5 / 27;01:23:53
353;1327;M / 130;1978;M3 / 43;01:09:09
354;434;K / 36;1962;K5 / 1;01:24:01
355;1158;M / 22;1991;M2 / 5;00:59:41
356;2976;M / 248;1961;M5 / 15;01:16:51
357;1745;M / 433;1961;M5 / 35;01:32:25
358;3517;M / 450;1973;M4 / 122;01:35:45
359;3083;M / 9;1985;M3 / 3;00:58:00
360;526;M / 57;1973;M4 / 10;01:03:39
361;1126;K / 48;1979;K3 / 13;01:28:39
362;1155;M / 196;1988;M2 / 34;01:14:07
363;1013;M / 497;1978;M3 / 175;02:10:41
364;819;M / 182;1979;M3 / 64;01:13:16
365;1576;M / 402;1986;M3 / 147;01:27:16
366;200;M / 92;1987;M2 / 19;01:06:30
367;2831;M / 96;2002;M0 / 11;01:07:04
368;2834;M / 42;1972;M4 / 7;01:02:34
369;1244;M / 31;1980;M3 / 11;01:01:11
370;508;M / 64;1977;M3 / 18;01:04:13
371;3485;M / 343;1984;M3 / 122;01:22:17
372;3157;M / 50;2004;MM / 1;01:03:16
373;3530;M / 217;1982;M3 / 74;01:15:05
374;1983;M / 100;1983;M3 / 31;01:07:23
375;1427;M / 381;1965;M5 / 31;01:25:37
376;2788;K / 31;1977;K3 / 9;01:21:42
377;1112;M / 95;1972;M4 / 20;01:06:51
378;940;M / 219;2005;MM / 10;01:15:10
379;511;K / 71;1991;K2 / 19;01:41:37
380;3289;M / 315;1982;M3 / 113;01:20:33
381;4074;M / 202;1983;M3 / 71;01:14:23
382;783;M / 284;1978;M3 / 100;01:18:43
383;1058;M / 419;1983;M3 / 152;01:29:46
384;223;M / 4;1993;M2 / 1;00:56:42
385;3333;M / 394;1989;M2 / 48;01:26:30
386;1333;M / 72;1983;M3 / 21;01:05:11
387;1957;M / 398;1957;M5 / 32;01:26:52
388;2918;M / 232;1973;M4 / 59;01:16:13
389;3540;M / 316;1984;M3 / 114;01:20:38
390;1292;M / 209;1976;M4 / 48;01:14:45
391;3592;M / 225;1969;M4 / 56;01:15:37
392;3568;M / 244;2004;MM / 12;01:16:43
393;116;M / 307;1951;M6 / 11;01:20:03
394;937;M / 118;1987;M2 / 23;01:08:12
395;684;M / 273;1976;M4 / 71;01:18:13
396;686;M / 475;1952;M6 / 24;01:43:35
397;685;K / 85;2003;KM / 6;01:59:27
398;1629;K / 59;1975;K4 / 8;01:34:45
